,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-05-17,669222,657277,grounded_into_double_play,hit_into_play,14,"Giants challenged (play at 1st), call on the field was overturned: Nick Senzel grounds into a double play, third baseman Wilmer Flores to second baseman Mauricio Dubon to first baseman Darin Ruf.   Jesse Winker out at 2nd.    Nick Senzel out at 1st.",0,2,1,3,5,0.17,1.06
1,2021-05-17,669222,657277,,foul,7,"Giants challenged (play at 1st), call on the field was overturned: Nick Senzel grounds into a double play, third baseman Wilmer Flores to second baseman Mauricio Dubon to first baseman Darin Ruf.   Jesse Winker out at 2nd.    Nick Senzel out at 1st.",0,1,1,2,5,-0.77,2.13
2,2021-05-17,669222,657277,,called_strike,7,"Giants challenged (play at 1st), call on the field was overturned: Nick Senzel grounds into a double play, third baseman Wilmer Flores to second baseman Mauricio Dubon to first baseman Darin Ruf.   Jesse Winker out at 2nd.    Nick Senzel out at 1st.",0,0,1,1,5,-0.59,1.49
3,2021-05-17,669222,657277,field_out,hit_into_play,8,"Nick Senzel grounds out, second baseman Mauricio Dubon to first baseman Darin Ruf.",0,0,0,1,3,-0.2,1.59
4,2021-05-17,669222,606424,strikeout,called_strike,9,Nick Senzel called out on strikes.,0,2,2,4,7,0.47,1.79
5,2021-05-17,669222,606424,,foul,13,Nick Senzel called out on strikes.,0,2,2,3,7,-0.38,1.02
6,2021-05-17,669222,606424,,swinging_strike,4,Nick Senzel called out on strikes.,0,1,2,2,7,-0.43,2.2
7,2021-05-17,669222,606424,,called_strike,7,Nick Senzel called out on strikes.,0,0,2,1,7,-0.48,1.78
8,2021-05-17,669222,643511,field_error,hit_into_play,9,Nick Senzel reaches on a throwing error by shortstop Brandon Crawford.,2,1,2,4,9,0.4,1.78
9,2021-05-17,669222,643511,,foul,1,Nick Senzel reaches on a throwing error by shortstop Brandon Crawford.,2,0,2,3,9,-0.35,3.03
10,2021-05-17,669222,643511,,ball,12,Nick Senzel reaches on a throwing error by shortstop Brandon Crawford.,1,0,2,2,9,1.9,2.46
11,2021-05-17,669222,643511,,ball,12,Nick Senzel reaches on a throwing error by shortstop Brandon Crawford.,0,0,2,1,9,2.37,5.78
12,2021-05-17,669222,657277,field_out,hit_into_play,8,"Nick Senzel grounds out, second baseman Mauricio Dubon to first baseman Darin Ruf.",0,1,1,2,1,-0.22,1.53
13,2021-05-17,669222,657277,,called_strike,6,"Nick Senzel grounds out, second baseman Mauricio Dubon to first baseman Darin Ruf.",0,0,1,1,1,0.59,2.28
14,2021-05-16,669222,622608,field_out,hit_into_play,8,Nick Senzel flies out to right fielder Yonathan Daza.,0,0,2,1,5,0.06,1.86
15,2021-05-16,669222,622608,field_out,hit_into_play,7,Nick Senzel flies out to center fielder Garrett Hampson.,2,1,2,4,3,-0.75,1.96
16,2021-05-16,669222,622608,,foul,9,Nick Senzel flies out to center fielder Garrett Hampson.,2,0,2,3,3,0.51,1.61
17,2021-05-16,669222,622608,,ball,11,Nick Senzel flies out to center fielder Garrett Hampson.,1,0,2,2,3,-1.09,3.28
18,2021-05-16,669222,622608,,ball,14,Nick Senzel flies out to center fielder Garrett Hampson.,0,0,2,1,3,1.22,2.01
19,2021-05-16,669222,622075,field_out,hit_into_play,14,Nick Senzel lines out to right fielder Yonathan Daza.,2,2,0,5,8,0.22,1.37
20,2021-05-16,669222,622075,,foul,14,Nick Senzel lines out to right fielder Yonathan Daza.,2,1,0,4,8,0.29,1.14
21,2021-05-16,669222,571710,single,hit_into_play,9,Nick Senzel singles on a line drive to center fielder Garrett Hampson.   Tucker Barnhart to 2nd.,0,1,1,2,9,0.34,1.59
22,2021-05-16,669222,622075,,ball,14,Nick Senzel lines out to right fielder Yonathan Daza.,1,1,0,3,8,0.02,1.3
23,2021-05-16,669222,622075,,ball,14,Nick Senzel lines out to right fielder Yonathan Daza.,0,1,0,2,8,0.19,1.13
24,2021-05-16,669222,571710,,called_strike,8,Nick Senzel singles on a line drive to center fielder Garrett Hampson.   Tucker Barnhart to 2nd.,0,0,1,1,9,0.17,1.65
25,2021-05-16,669222,622075,,swinging_strike_blocked,14,Nick Senzel lines out to right fielder Yonathan Daza.,0,0,0,1,8,0.16,0.5
26,2021-05-16,669222,622608,strikeout,called_strike,13,Nick Senzel called out on strikes.,0,2,0,3,1,-0.96,2.03
27,2021-05-16,669222,622608,,foul,11,Nick Senzel called out on strikes.,0,1,0,2,1,-0.91,2.67
28,2021-05-16,669222,622608,,foul,14,Nick Senzel called out on strikes.,0,0,0,1,1,0.15,1.31
29,2021-05-15,669222,665733,single,hit_into_play,5,Nick Senzel singles on a line drive to left fielder Raimel Tapia.   Nick Castellanos to 3rd.,1,0,0,2,12,0.14,2.54
30,2021-05-15,669222,665733,,blocked_ball,14,Nick Senzel singles on a line drive to left fielder Raimel Tapia.   Nick Castellanos to 3rd.,0,0,0,1,12,1.78,0.46
31,2021-05-13,669222,592346,field_out,hit_into_play,6,"Nick Senzel grounds out, second baseman Ryan McMahon to first baseman Connor Joe.",0,2,0,3,1,0.54,2.24
32,2021-05-13,669222,592346,,foul_tip,13,"Nick Senzel grounds out, second baseman Ryan McMahon to first baseman Connor Joe.",0,1,0,2,1,-1.16,1.79
33,2021-05-13,669222,592346,,foul,3,"Nick Senzel grounds out, second baseman Ryan McMahon to first baseman Connor Joe.",0,0,0,1,1,0.43,3.2
34,2021-05-12,669222,502239,field_out,hit_into_play,9,Nick Senzel lines out to left fielder Ka'ai Tom.,1,1,0,3,6,0.31,1.58
35,2021-05-12,669222,502239,,foul,14,Nick Senzel lines out to left fielder Ka'ai Tom.,1,0,0,2,6,0.84,1.68
36,2021-05-12,669222,502239,,ball,11,Nick Senzel lines out to left fielder Ka'ai Tom.,0,0,0,1,6,-1.41,5.1
37,2021-05-12,669222,502239,field_out,hit_into_play,7,"Nick Senzel grounds out, third baseman Erik Gonzalez to first baseman Phillip Evans.",0,1,1,2,3,-0.76,1.89
