,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,664023,663765,walk,blocked_ball,13,Ian Happ walks.,3,1,2,5,5,-0.19,0.53
1,2021-10-03,664023,663765,,ball,12,Ian Happ walks.,2,1,2,4,5,1.68,2.75
2,2021-10-03,664023,663765,,foul,8,Ian Happ walks.,2,0,2,3,5,-0.04,1.5
3,2021-10-03,664023,663765,,ball,14,Ian Happ walks.,1,0,2,2,5,0.85,1.67
4,2021-10-03,664023,663765,,ball,11,Ian Happ walks.,0,0,2,1,5,-1.66,4.29
5,2021-10-03,664023,663765,strikeout,swinging_strike,11,Ian Happ strikes out swinging.,0,2,2,3,3,-0.06,3.9
6,2021-10-03,664023,663765,,foul,9,Ian Happ strikes out swinging.,0,1,2,2,3,0.38,1.63
7,2021-10-03,664023,663765,,called_strike,13,Ian Happ strikes out swinging.,0,0,2,1,3,-1.21,2.27
8,2021-10-03,664023,663765,field_out,hit_into_play,6,Ian Happ flies out to right fielder Dylan Carlson.,2,2,1,6,1,0.57,2.59
9,2021-10-03,664023,663765,,foul,12,Ian Happ flies out to right fielder Dylan Carlson.,2,2,1,5,1,1.07,2.94
10,2021-10-03,664023,663765,,blocked_ball,14,Ian Happ flies out to right fielder Dylan Carlson.,1,2,1,4,1,0.51,0.33
11,2021-10-03,664023,663765,,called_strike,9,Ian Happ flies out to right fielder Dylan Carlson.,1,1,1,3,1,0.48,2.29
12,2021-10-03,664023,663765,,ball,12,Ian Happ flies out to right fielder Dylan Carlson.,0,1,1,2,1,0.86,3.2
13,2021-10-03,664023,663765,,swinging_strike,12,Ian Happ flies out to right fielder Dylan Carlson.,0,0,1,1,1,0.35,3.5
14,2021-10-02,664023,452657,walk,ball,12,Ian Happ walks.   Frank Schwindel to 2nd.,3,0,2,4,5,1.09,3.14
15,2021-10-02,664023,452657,,ball,14,Ian Happ walks.   Frank Schwindel to 2nd.,2,0,2,3,5,1.62,2.17
16,2021-10-02,664023,452657,,ball,12,Ian Happ walks.   Frank Schwindel to 2nd.,1,0,2,2,5,1.11,2.73
17,2021-10-02,664023,452657,,ball,14,Ian Happ walks.   Frank Schwindel to 2nd.,0,0,2,1,5,0.09,1.16
18,2021-10-02,664023,452657,field_out,hit_into_play,8,"Ian Happ grounds out, first baseman Paul Goldschmidt to pitcher Jon Lester.",2,2,0,5,4,0.11,1.97
19,2021-10-02,664023,452657,,foul,5,"Ian Happ grounds out, first baseman Paul Goldschmidt to pitcher Jon Lester.",2,1,0,4,4,0.28,2.48
20,2021-10-02,664023,452657,,ball,14,"Ian Happ grounds out, first baseman Paul Goldschmidt to pitcher Jon Lester.",1,1,0,3,4,1.12,1.58
21,2021-10-02,664023,452657,,ball,14,"Ian Happ grounds out, first baseman Paul Goldschmidt to pitcher Jon Lester.",0,1,0,2,4,1.34,1.1
22,2021-10-02,664023,452657,,called_strike,8,"Ian Happ grounds out, first baseman Paul Goldschmidt to pitcher Jon Lester.",0,0,0,1,4,-0.08,1.58
23,2021-10-02,664023,547942,walk,blocked_ball,14,Ian Happ walks.,3,2,2,6,7,0.06,0.2
24,2021-10-02,664023,547942,,ball,13,Ian Happ walks.,2,2,2,5,7,-0.2,0.88
25,2021-10-02,664023,547942,,ball,14,Ian Happ walks.,1,2,2,4,7,1.0,1.01
26,2021-10-02,664023,547942,,ball,11,Ian Happ walks.,0,2,2,3,7,-0.39,5.16
27,2021-10-02,664023,547942,,called_strike,9,Ian Happ walks.,0,1,2,2,7,0.59,2.03
28,2021-10-02,664023,547942,,swinging_strike,13,Ian Happ walks.,0,0,2,1,7,-0.09,1.31
29,2021-10-02,664023,472610,home_run,hit_into_play,4,Ian Happ homers (25) on a fly ball to center field.   Frank Schwindel scores.,2,0,2,3,9,-0.42,2.61
30,2021-10-02,664023,472610,,blocked_ball,13,Ian Happ homers (25) on a fly ball to center field.   Frank Schwindel scores.,1,0,2,2,9,-0.06,0.61
31,2021-10-02,664023,472610,,ball,13,Ian Happ homers (25) on a fly ball to center field.   Frank Schwindel scores.,0,0,2,1,9,-1.26,2.35
32,2021-10-02,664023,452657,force_out,hit_into_play,11,"Ian Happ grounds into a force out, shortstop Paul DeJong to second baseman Edmundo Sosa.   Frank Schwindel out at 2nd.    Ian Happ to 1st.",1,1,1,3,1,-1.09,2.98
33,2021-10-02,664023,452657,,ball,14,"Ian Happ grounds into a force out, shortstop Paul DeJong to second baseman Edmundo Sosa.   Frank Schwindel out at 2nd.    Ian Happ to 1st.",0,1,1,2,1,1.35,1.57
34,2021-10-02,664023,452657,,called_strike,9,"Ian Happ grounds into a force out, shortstop Paul DeJong to second baseman Edmundo Sosa.   Frank Schwindel out at 2nd.    Ian Happ to 1st.",0,0,1,1,1,0.38,1.51
35,2021-10-01,664023,641712,single,hit_into_play,6,Ian Happ singles on a line drive to right fielder Lars Nootbaar.,2,1,0,4,4,0.67,2.24
36,2021-10-01,664023,641712,,ball,11,Ian Happ singles on a line drive to right fielder Lars Nootbaar.,1,1,0,3,4,-2.02,3.44
37,2021-10-01,664023,641712,,ball,13,Ian Happ singles on a line drive to right fielder Lars Nootbaar.,0,1,0,2,4,-0.31,0.24
38,2021-10-01,664023,641712,,called_strike,7,Ian Happ singles on a line drive to right fielder Lars Nootbaar.,0,0,0,1,4,-0.75,1.57
39,2021-10-01,664023,650893,walk,ball,13,Ian Happ walks.,3,2,2,6,6,-1.43,2.24
40,2021-10-01,664023,650893,,swinging_strike,14,Ian Happ walks.,3,1,2,5,6,0.34,1.39
41,2021-10-01,664023,650893,,ball,14,Ian Happ walks.,2,1,2,4,6,1.18,2.57
42,2021-10-01,664023,650893,,foul,13,Ian Happ walks.,2,0,2,3,6,-0.57,1.26
43,2021-10-01,664023,650893,,ball,14,Ian Happ walks.,1,0,2,2,6,0.19,1.07
44,2021-10-01,664023,641712,field_out,hit_into_play,5,"Ian Happ grounds out, second baseman Tommy Edman to first baseman Paul Goldschmidt.",1,0,2,2,1,-0.17,2.11
45,2021-10-01,664023,650893,,ball,13,Ian Happ walks.,0,0,2,1,6,-0.47,1.25
46,2021-10-01,664023,641712,,ball,3,"Ian Happ grounds out, second baseman Tommy Edman to first baseman Paul Goldschmidt.",0,0,2,1,1,0.29,3.52
47,2021-10-01,664023,453192,field_out,hit_into_play,6,Ian Happ lines out to center fielder Harrison Bader.,0,1,0,2,8,0.44,2.77
48,2021-10-01,664023,453192,,swinging_strike,8,Ian Happ lines out to center fielder Harrison Bader.,0,0,0,1,8,0.01,1.67
49,2021-09-30,664023,664337,walk,ball,14,Ian Happ walks.,3,2,2,7,2,0.3,1.45
50,2021-09-30,664023,664337,,ball,14,Ian Happ walks.,2,2,2,6,2,1.35,1.28
51,2021-09-30,664023,664337,,blocked_ball,14,Ian Happ walks.,1,2,2,5,2,1.51,0.63
52,2021-09-30,664023,664196,field_out,hit_into_play,7,Ian Happ grounds out to first baseman Colin Moran.,1,0,2,2,6,-0.58,1.84
53,2021-09-30,664023,664196,,ball,13,Ian Happ grounds out to first baseman Colin Moran.,0,0,2,1,6,-1.33,1.17
54,2021-09-30,664023,664337,,ball,11,Ian Happ walks.,0,2,2,4,2,-0.55,4.4
55,2021-09-30,664023,664337,,foul,2,Ian Happ walks.,0,2,2,3,2,-0.21,2.82
56,2021-09-30,664023,664337,,foul,8,Ian Happ walks.,0,1,2,2,2,-0.14,1.68
57,2021-09-30,664023,664337,,called_strike,8,Ian Happ walks.,0,0,2,1,2,0.24,1.72
58,2021-09-30,664023,660853,strikeout,foul_tip,4,Ian Happ strikes out on a foul tip.,1,2,2,4,8,-0.3,2.51
59,2021-09-30,664023,660853,,blocked_ball,14,Ian Happ strikes out on a foul tip.,0,2,2,3,8,1.03,0.42
60,2021-09-30,664023,660853,,called_strike,3,Ian Happ strikes out on a foul tip.,0,1,2,2,8,0.47,3.13
61,2021-09-30,664023,660853,,foul_tip,1,Ian Happ strikes out on a foul tip.,0,0,2,1,8,-0.43,3.24
62,2021-09-30,664023,664196,field_out,hit_into_play,4,"Ian Happ grounds out sharply, shortstop Kevin Newman to first baseman Colin Moran.",0,2,2,3,4,-0.5,2.51
63,2021-09-30,664023,664196,,called_strike,8,"Ian Happ grounds out sharply, shortstop Kevin Newman to first baseman Colin Moran.",0,1,2,2,4,-0.08,1.75
64,2021-09-30,664023,664196,,called_strike,4,"Ian Happ grounds out sharply, shortstop Kevin Newman to first baseman Colin Moran.",0,0,2,1,4,-0.61,2.64
65,2021-09-30,664023,664337,double,hit_into_play,3,Ian Happ doubles (20) on a line drive to right fielder Yoshi Tsutsugo.,1,2,1,4,1,0.47,3.2
66,2021-09-30,664023,664337,,called_strike,8,Ian Happ doubles (20) on a line drive to right fielder Yoshi Tsutsugo.,1,1,1,3,1,0.27,1.63
67,2021-09-30,664023,664337,,ball,14,Ian Happ doubles (20) on a line drive to right fielder Yoshi Tsutsugo.,0,1,1,2,1,1.58,1.72
68,2021-09-30,664023,664337,,called_strike,2,Ian Happ doubles (20) on a line drive to right fielder Yoshi Tsutsugo.,0,0,1,1,1,0.16,3.17
69,2021-09-29,664023,607572,strikeout,called_strike,6,Ian Happ called out on strikes.,2,2,2,5,5,0.8,2.42
70,2021-09-29,664023,607572,,ball,11,Ian Happ called out on strikes.,1,2,2,4,5,-0.38,4.51
71,2021-09-29,664023,607572,,blocked_ball,13,Ian Happ called out on strikes.,0,2,2,3,5,-1.51,-0.76
72,2021-09-29,664023,607572,,foul,11,Ian Happ called out on strikes.,0,1,2,2,5,-0.83,2.54
73,2021-09-29,664023,607572,,foul,11,Ian Happ called out on strikes.,0,0,2,1,5,-0.19,3.63
74,2021-09-29,664023,672710,strikeout,swinging_strike,11,Ian Happ strikes out swinging.,1,2,1,4,1,-0.67,3.53
75,2021-09-29,664023,672710,,foul,8,Ian Happ strikes out swinging.,1,1,1,3,1,0.13,1.97
76,2021-09-29,664023,672710,,foul,6,Ian Happ strikes out swinging.,1,0,1,2,1,0.36,2.24
77,2021-09-29,664023,683232,walk,ball,12,Ian Happ walks.,3,2,2,8,7,0.49,4.26
78,2021-09-29,664023,683232,,foul,2,Ian Happ walks.,3,2,2,7,7,0.26,2.97
79,2021-09-29,664023,672710,,ball,13,Ian Happ strikes out swinging.,0,0,1,1,1,-1.26,2.34
80,2021-09-29,664023,683232,,ball,14,Ian Happ walks.,2,2,2,6,7,1.48,1.41
81,2021-09-29,664023,683232,,blocked_ball,14,Ian Happ walks.,1,2,2,5,7,0.79,-1.28
82,2021-09-29,664023,683232,,foul,12,Ian Happ walks.,1,2,2,4,7,0.56,3.66
83,2021-09-29,664023,683232,,ball,1,Ian Happ walks.,0,2,2,3,7,-0.78,3.31
84,2021-09-29,664023,683232,,swinging_strike,13,Ian Happ walks.,0,1,2,2,7,-0.09,-1.08
85,2021-09-29,664023,683232,,foul,2,Ian Happ walks.,0,0,2,1,7,0.14,3.14
86,2021-09-29,664023,664918,double,hit_into_play,5,Ian Happ doubles (19) on a sharp line drive to right fielder Yoshi Tsutsugo.,0,0,1,1,9,-0.04,2.35
87,2021-09-29,664023,607572,strikeout,swinging_strike,14,Ian Happ strikes out swinging.,0,2,0,3,4,0.97,2.43
88,2021-09-29,664023,607572,,swinging_strike,2,Ian Happ strikes out swinging.,0,1,0,2,4,-0.17,3.47
89,2021-09-29,664023,607572,,swinging_strike,11,Ian Happ strikes out swinging.,0,0,0,1,4,-0.31,3.68
90,2021-09-28,664023,656605,single,hit_into_play,2,Ian Happ singles on a sharp ground ball to right fielder Ben Gamel.   Rafael Ortega scores.    Frank Schwindel to 3rd.,2,2,0,5,5,0.13,2.92
91,2021-09-28,664023,656605,,blocked_ball,14,Ian Happ singles on a sharp ground ball to right fielder Ben Gamel.   Rafael Ortega scores.    Frank Schwindel to 3rd.,1,2,0,4,5,1.08,0.62
92,2021-09-28,664023,656605,,blocked_ball,14,Ian Happ singles on a sharp ground ball to right fielder Ben Gamel.   Rafael Ortega scores.    Frank Schwindel to 3rd.,0,2,0,3,5,0.43,-0.12
93,2021-09-28,664023,656605,,foul,3,Ian Happ singles on a sharp ground ball to right fielder Ben Gamel.   Rafael Ortega scores.    Frank Schwindel to 3rd.,0,1,0,2,5,0.42,2.82
94,2021-09-28,664023,656605,,called_strike,9,Ian Happ singles on a sharp ground ball to right fielder Ben Gamel.   Rafael Ortega scores.    Frank Schwindel to 3rd.,0,0,0,1,5,0.46,1.79
95,2021-09-28,664023,656605,walk,ball,14,Ian Happ walks.   Frank Schwindel to 2nd.,3,2,1,6,3,0.99,0.69
96,2021-09-28,664023,656605,,blocked_ball,14,Ian Happ walks.   Frank Schwindel to 2nd.,2,2,1,5,3,0.95,0.88
97,2021-09-28,664023,656605,,swinging_strike,14,Ian Happ walks.   Frank Schwindel to 2nd.,2,1,1,4,3,0.35,1.33
98,2021-09-28,664023,656605,,ball,14,Ian Happ walks.   Frank Schwindel to 2nd.,1,1,1,3,3,1.05,2.04
99,2021-09-28,664023,656605,,foul,1,Ian Happ walks.   Frank Schwindel to 2nd.,1,0,1,2,3,-0.41,2.94
100,2021-09-28,664023,656605,,blocked_ball,14,Ian Happ walks.   Frank Schwindel to 2nd.,0,0,1,1,3,1.27,0.75
101,2021-09-28,664023,656605,field_out,hit_into_play,5,"Ian Happ grounds out, second baseman Cole Tucker to first baseman Colin Moran.   Frank Schwindel to 2nd.",0,1,1,2,1,0.07,2.58
102,2021-09-28,664023,656605,,called_strike,9,"Ian Happ grounds out, second baseman Cole Tucker to first baseman Colin Moran.   Frank Schwindel to 2nd.",0,0,1,1,1,0.65,2.05
103,2021-09-28,664023,608717,field_out,hit_into_play,13,"Ian Happ grounds out, second baseman Cole Tucker to first baseman Colin Moran.",2,2,0,5,9,-0.27,1.02
104,2021-09-28,664023,608717,,called_strike,8,"Ian Happ grounds out, second baseman Cole Tucker to first baseman Colin Moran.",2,1,0,4,9,-0.02,1.54
105,2021-09-28,664023,608717,,ball,13,"Ian Happ grounds out, second baseman Cole Tucker to first baseman Colin Moran.",1,1,0,3,9,-0.11,0.21
106,2021-09-28,664023,592741,strikeout,swinging_strike,14,Ian Happ strikes out swinging.,0,2,0,3,7,0.33,1.08
107,2021-09-28,664023,608717,,foul,7,"Ian Happ grounds out, second baseman Cole Tucker to first baseman Colin Moran.",1,0,0,2,9,-0.42,1.86
108,2021-09-28,664023,592741,,swinging_strike,6,Ian Happ strikes out swinging.,0,1,0,2,7,0.7,2.77
109,2021-09-28,664023,592741,,called_strike,8,Ian Happ strikes out swinging.,0,0,0,1,7,-0.07,2.07
110,2021-09-28,664023,608717,,ball,11,"Ian Happ grounds out, second baseman Cole Tucker to first baseman Colin Moran.",0,0,0,1,9,-1.07,2.99
111,2021-09-26,664023,663765,field_out,hit_into_play,6,Ian Happ pops out to third baseman Nolan Arenado.,1,2,1,4,5,0.75,2.76
112,2021-09-26,664023,663765,,called_strike,8,Ian Happ pops out to third baseman Nolan Arenado.,1,1,1,3,5,-0.25,1.88
113,2021-09-26,664023,663765,,ball,11,Ian Happ pops out to third baseman Nolan Arenado.,0,1,1,2,5,-0.73,3.48
114,2021-09-26,664023,663765,,called_strike,3,Ian Happ pops out to third baseman Nolan Arenado.,0,0,1,1,5,0.77,3.29
115,2021-09-26,664023,663765,grounded_into_double_play,hit_into_play,8,"Ian Happ grounds into a double play, first baseman Paul Goldschmidt to third baseman Nolan Arenado.   Rafael Ortega out at 2nd.    Ian Happ out at 1st.",1,2,1,4,3,-0.25,1.52
116,2021-09-26,664023,663765,,ball,11,"Ian Happ grounds into a double play, first baseman Paul Goldschmidt to third baseman Nolan Arenado.   Rafael Ortega out at 2nd.    Ian Happ out at 1st.",0,2,1,3,3,-1.86,3.92
117,2021-09-26,664023,663765,,foul,8,"Ian Happ grounds into a double play, first baseman Paul Goldschmidt to third baseman Nolan Arenado.   Rafael Ortega out at 2nd.    Ian Happ out at 1st.",0,1,1,2,3,0.21,1.9
118,2021-09-26,664023,663765,,foul,5,"Ian Happ grounds into a double play, first baseman Paul Goldschmidt to third baseman Nolan Arenado.   Rafael Ortega out at 2nd.    Ian Happ out at 1st.",0,0,1,1,3,-0.28,2.57
119,2021-09-26,664023,606149,strikeout,swinging_strike,13,Ian Happ strikes out swinging.,0,2,2,4,9,-0.37,1.03
120,2021-09-26,664023,676831,strikeout,swinging_strike,1,Ian Happ strikes out swinging.,2,2,2,7,7,-0.28,3.24
121,2021-09-26,664023,606149,,foul,3,Ian Happ strikes out swinging.,0,2,2,3,9,0.78,2.92
122,2021-09-26,664023,676831,,ball,11,Ian Happ strikes out swinging.,1,2,2,6,7,-1.52,3.98
123,2021-09-26,664023,606149,,foul_tip,5,Ian Happ strikes out swinging.,0,1,2,2,9,0.0,2.46
124,2021-09-26,664023,606149,,swinging_strike,5,Ian Happ strikes out swinging.,0,0,2,1,9,-0.26,2.45
125,2021-09-26,664023,676831,,foul,5,Ian Happ strikes out swinging.,1,2,2,5,7,-0.16,2.34
126,2021-09-26,664023,676831,,ball,11,Ian Happ strikes out swinging.,0,2,2,4,7,-1.02,3.86
127,2021-09-26,664023,676831,,foul,8,Ian Happ strikes out swinging.,0,2,2,3,7,0.15,2.0
128,2021-09-26,664023,676831,,foul,12,Ian Happ strikes out swinging.,0,1,2,2,7,1.05,2.89
129,2021-09-26,664023,676831,,swinging_strike,3,Ian Happ strikes out swinging.,0,0,2,1,7,0.52,3.07
130,2021-09-26,664023,663765,field_out,hit_into_play,5,Ian Happ lines out to center fielder Harrison Bader.,3,2,1,6,1,0.21,2.58
131,2021-09-26,664023,663765,,foul,8,Ian Happ lines out to center fielder Harrison Bader.,3,1,1,5,1,-0.2,1.54
132,2021-09-26,664023,663765,,ball,13,Ian Happ lines out to center fielder Harrison Bader.,2,1,1,4,1,-1.51,2.32
133,2021-09-26,664023,663765,,ball,13,Ian Happ lines out to center fielder Harrison Bader.,1,1,1,3,1,-1.0,1.93
134,2021-09-26,664023,663765,,called_strike,1,Ian Happ lines out to center fielder Harrison Bader.,1,0,1,2,1,-0.66,3.04
135,2021-09-26,664023,663765,,ball,11,Ian Happ lines out to center fielder Harrison Bader.,0,0,1,1,1,-0.34,3.71
136,2021-09-25,664023,452657,walk,ball,14,Ian Happ walks.   Sergio Alcantara scores.    Adrian Sampson to 3rd.    Willson Contreras to 2nd.,3,2,2,7,4,1.06,2.33
137,2021-09-25,664023,452657,,foul,12,Ian Happ walks.   Sergio Alcantara scores.    Adrian Sampson to 3rd.    Willson Contreras to 2nd.,3,2,2,6,4,0.89,2.71
138,2021-09-25,664023,452657,,ball,12,Ian Happ walks.   Sergio Alcantara scores.    Adrian Sampson to 3rd.    Willson Contreras to 2nd.,2,2,2,5,4,1.3,2.77
139,2021-09-25,664023,452657,,ball,12,Ian Happ walks.   Sergio Alcantara scores.    Adrian Sampson to 3rd.    Willson Contreras to 2nd.,1,2,2,4,4,0.56,4.42
140,2021-09-25,664023,452657,,foul,6,Ian Happ walks.   Sergio Alcantara scores.    Adrian Sampson to 3rd.    Willson Contreras to 2nd.,1,1,2,3,4,0.28,2.24
141,2021-09-25,664023,452657,,ball,12,Ian Happ walks.   Sergio Alcantara scores.    Adrian Sampson to 3rd.    Willson Contreras to 2nd.,0,1,2,2,4,0.54,4.35
142,2021-09-25,664023,452657,,called_strike,5,Ian Happ walks.   Sergio Alcantara scores.    Adrian Sampson to 3rd.    Willson Contreras to 2nd.,0,0,2,1,4,0.19,2.26
143,2021-09-25,664023,452657,single,hit_into_play,8,Ian Happ singles on a sharp line drive to center fielder Harrison Bader.   Willson Contreras scores.    Ian Happ to 2nd.,1,0,2,2,3,-0.1,2.04
144,2021-09-25,664023,452657,,ball,14,Ian Happ singles on a sharp line drive to center fielder Harrison Bader.   Willson Contreras scores.    Ian Happ to 2nd.,0,0,2,1,3,1.69,2.34
145,2021-09-25,664023,472610,home_run,hit_into_play,5,Ian Happ homers (24) on a fly ball to center field.,3,2,2,6,9,0.18,2.47
146,2021-09-25,664023,472610,,ball,11,Ian Happ homers (24) on a fly ball to center field.,2,2,2,5,9,-1.0,3.42
147,2021-09-25,664023,472610,,ball,11,Ian Happ homers (24) on a fly ball to center field.,1,2,2,4,9,-2.37,3.43
148,2021-09-25,664023,472610,,called_strike,2,Ian Happ homers (24) on a fly ball to center field.,1,1,2,3,9,-0.09,3.44
149,2021-09-25,664023,472610,,called_strike,6,Ian Happ homers (24) on a fly ball to center field.,1,0,2,2,9,0.29,2.41
150,2021-09-25,664023,472610,,ball,12,Ian Happ homers (24) on a fly ball to center field.,0,0,2,1,9,0.03,4.12
151,2021-09-25,664023,452657,strikeout,swinging_strike,14,Ian Happ strikes out swinging.,0,2,2,3,1,1.23,1.26
152,2021-09-25,664023,452657,,swinging_strike,8,Ian Happ strikes out swinging.,0,1,2,2,1,0.01,2.01
153,2021-09-25,664023,452657,,called_strike,12,Ian Happ strikes out swinging.,0,0,2,1,1,0.93,2.57
154,2021-09-25,664023,519008,field_out,hit_into_play,4,"Ian Happ grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",2,0,0,3,7,-0.31,2.22
155,2021-09-25,664023,519008,,ball,14,"Ian Happ grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",1,0,0,2,7,0.13,1.36
156,2021-09-25,664023,519008,,ball,14,"Ian Happ grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",0,0,0,1,7,0.78,1.36
157,2021-09-24,664023,457918,field_out,hit_into_play,5,"Ian Happ grounds out sharply, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",0,0,0,1,4,0.21,2.16
158,2021-09-24,664023,641712,field_out,hit_into_play,14,"Ian Happ grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.   Frank Schwindel scores.",0,2,1,3,3,0.94,1.49
159,2021-09-24,664023,641712,,foul,6,"Ian Happ grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.   Frank Schwindel scores.",0,1,1,2,3,0.77,2.53
160,2021-09-24,664023,641712,,foul,2,"Ian Happ grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.   Frank Schwindel scores.",0,0,1,1,3,0.0,3.08
161,2021-09-24,664023,656427,walk,blocked_ball,14,Ian Happ walks.,3,2,1,7,1,0.82,0.73
162,2021-09-24,664023,656427,,ball,14,Ian Happ walks.,2,2,1,6,1,0.83,-0.48
163,2021-09-24,664023,656427,,ball,14,Ian Happ walks.,1,2,1,5,1,0.82,0.21
164,2021-09-24,664023,656427,,foul,1,Ian Happ walks.,1,2,1,4,1,-0.44,3.17
165,2021-09-24,664023,656427,,ball,14,Ian Happ walks.,0,2,1,3,1,0.92,-0.15
166,2021-09-24,664023,656427,,swinging_strike,13,Ian Happ walks.,0,1,1,2,1,-0.47,0.95
167,2021-09-24,664023,457918,strikeout,swinging_strike,12,Ian Happ strikes out swinging.,2,2,1,5,1,0.5,3.55
168,2021-09-24,664023,656427,,foul,3,Ian Happ walks.,0,0,1,1,1,0.48,2.88
169,2021-09-24,664023,457918,,foul,14,Ian Happ strikes out swinging.,2,1,1,4,1,0.92,1.9
170,2021-09-24,664023,457918,,called_strike,14,Ian Happ strikes out swinging.,2,0,1,3,1,0.94,1.81
171,2021-09-24,664023,457918,,ball,12,Ian Happ strikes out swinging.,1,0,1,2,1,1.23,3.05
172,2021-09-24,664023,457918,,ball,12,Ian Happ strikes out swinging.,0,0,1,1,1,1.32,3.03
173,2021-09-24,664023,650893,sac_fly,hit_into_play,12,Ian Happ out on a sacrifice fly to right fielder Lars Nootbaar.   Matt Duffy scores.    Rafael Ortega to 3rd.,0,1,1,2,5,0.52,3.66
174,2021-09-24,664023,650893,,foul,3,Ian Happ out on a sacrifice fly to right fielder Lars Nootbaar.   Matt Duffy scores.    Rafael Ortega to 3rd.,0,0,1,1,5,0.64,3.25
175,2021-09-22,664023,657746,strikeout,swinging_strike,1,Ian Happ strikes out swinging.,3,2,0,6,4,-0.64,3.07
176,2021-09-22,664023,657746,,called_strike,1,Ian Happ strikes out swinging.,3,1,0,5,4,-0.48,3.26
177,2021-09-22,664023,657746,,ball,11,Ian Happ strikes out swinging.,2,1,0,4,4,-0.61,4.16
178,2021-09-22,664023,657746,,ball,11,Ian Happ strikes out swinging.,1,1,0,3,4,-1.66,2.55
179,2021-09-22,664023,657746,,ball,14,Ian Happ strikes out swinging.,0,1,0,2,4,0.79,0.12
180,2021-09-22,664023,657746,,swinging_strike,2,Ian Happ strikes out swinging.,0,0,0,1,4,0.08,2.8
181,2021-09-22,664023,657746,walk,ball,11,Ian Happ walks.,3,2,0,6,2,-0.98,3.72
182,2021-09-22,664023,657746,,foul,4,Ian Happ walks.,3,1,0,5,2,-0.61,2.75
183,2021-09-22,664023,657746,,ball,11,Ian Happ walks.,2,1,0,4,2,-1.43,4.04
184,2021-09-22,664023,657746,,ball,12,Ian Happ walks.,1,1,0,3,2,0.86,3.39
185,2021-09-22,664023,657746,,foul,2,Ian Happ walks.,1,0,0,2,2,-0.16,3.27
186,2021-09-22,664023,657746,,ball,11,Ian Happ walks.,0,0,0,1,2,-1.34,3.89
187,2021-09-22,664023,573668,field_out,hit_into_play,8,Ian Happ grounds out to first baseman Miguel Sano.,2,1,2,4,6,-0.01,1.71
188,2021-09-22,664023,573668,,ball,11,Ian Happ grounds out to first baseman Miguel Sano.,1,1,2,3,6,-1.92,2.81
189,2021-09-22,664023,573668,,ball,14,Ian Happ grounds out to first baseman Miguel Sano.,0,1,2,2,6,0.42,0.89
190,2021-09-22,664023,517008,single,hit_into_play,7,Ian Happ singles on a sharp line drive to left fielder Jake Cave.   Frank Schwindel scores.,0,1,1,2,9,-0.4,1.92
191,2021-09-22,664023,573668,,swinging_strike,7,Ian Happ grounds out to first baseman Miguel Sano.,0,0,2,1,6,-0.36,1.58
192,2021-09-22,664023,517008,,called_strike,5,Ian Happ singles on a sharp line drive to left fielder Jake Cave.   Frank Schwindel scores.,0,0,1,1,9,-0.22,2.22
193,2021-09-21,664023,643377,strikeout,swinging_strike,14,Ian Happ strikes out swinging.,3,2,2,7,2,0.9,2.26
194,2021-09-21,664023,643377,,foul,5,Ian Happ strikes out swinging.,3,2,2,6,2,-0.23,2.47
195,2021-09-21,664023,643377,,foul,8,Ian Happ strikes out swinging.,3,1,2,5,2,-0.12,2.02
196,2021-09-21,664023,643377,,ball,14,Ian Happ strikes out swinging.,2,1,2,4,2,1.37,1.53
197,2021-09-21,664023,643377,,ball,11,Ian Happ strikes out swinging.,1,1,2,3,2,-0.12,3.94
198,2021-09-21,664023,643377,,blocked_ball,13,Ian Happ strikes out swinging.,0,1,2,2,2,-0.98,0.1
199,2021-09-21,664023,643377,,called_strike,4,Ian Happ strikes out swinging.,0,0,2,1,2,-0.59,2.67
200,2021-09-21,664023,543056,field_out,hit_into_play,5,Ian Happ lines out to second baseman Luis Arraez.,3,1,0,5,6,-0.15,2.44
201,2021-09-21,664023,543056,,called_strike,2,Ian Happ lines out to second baseman Luis Arraez.,3,0,0,4,6,-0.12,2.91
202,2021-09-21,664023,543056,,ball,13,Ian Happ lines out to second baseman Luis Arraez.,2,0,0,3,6,-0.19,1.53
203,2021-09-21,664023,543056,,ball,13,Ian Happ lines out to second baseman Luis Arraez.,1,0,0,2,6,-1.92,1.43
204,2021-09-21,664023,643377,single,hit_into_play,8,Ian Happ singles on a soft ground ball to pitcher Griffin Jax.   Rafael Ortega to 3rd.,3,2,1,7,1,-0.02,1.74
205,2021-09-21,664023,573204,force_out,hit_into_play,13,"Ian Happ grounds into a force out, fielded by second baseman Luis Arraez.   Rafael Ortega out at 2nd.  Ian Happ advances to 2nd, on a throwing error by second baseman Luis Arraez.",0,0,1,1,8,-0.95,2.33
